game_id,season,week,home,away,neutral,fbs_both,total_pts,mkt_total,mkt_total_open,mkt_spread,proj_py_h,proj_ypa_h,proj_ry_h,proj_yrc_h,proj_py_a,proj_ypa_a,proj_ry_a,proj_yrc_a,tempo_h,tempo_a,exp_plays,proj_total_yards,off_ypa_h,def_ypa_h,off_ypc_h,def_ypc_h,off_ypa_a,def_ypa_a,off_ypc_a,def_ypc_a,prate_h,prate_a,pre_w_h,pre_w_a
401525547,2023,11,Boston College,Virginia Tech,False,True,70.0,48.5,49.75,2.5,207.6748846432418,6.954544710584503,189.69497967894998,4.740070153640807,230.15877916845028,7.5769602791268875,201.9332439516826,5.111579161216157,72.07705669553272,67.68533714125445,69.88119691839358,829.4618874423246,7.389632040235617,7.048422438095071,4.616165153120462,4.277162299898629,7.38953509233623,6.469339165370467,4.582486200413971,3.9373610081558565,0.4273216920992705,0.4346825436623949,0.6666666666666666,0.6666666666666666
401540477,2023,11,Robert Morris,Charleston Southern,False,False,26.0,44.5,,2.0,235.82752072440132,7.352599911781266,97.84404036513028,3.1917187335317156,233.5198762560046,8.21583637324628,139.8517924250919,4.076540818392306,65.62318845018687,59.83606662984501,62.72962754001594,707.0432297706282,5.946653915643892,10.030567709523892,2.885976645844781,4.958527169744851,5.630413590703606,8.49928321272421,3.1523969820645314,4.2406614803327365,0.5113059441957164,0.4531055290138678,0.6428571428571429,0.6153846153846154
401539985,2023,11,South Carolina State,Morgan State,False,False,37.0,39.5,,-2.0,148.19879942323553,5.908799649534622,169.24025911920555,4.436796723437385,193.3995134160142,7.003344329219633,117.97496072802082,3.3129337085572517,61.52599353186871,64.92546320930161,63.22572837058516,628.8135326864762,5.483141226753981,9.125647080389525,4.1414672586830905,4.456031254998475,5.275405415947402,7.407708139960605,2.850797192771621,4.107873906866455,0.39669029867965266,0.4367732741425022,0.6428571428571429,0.6153846153846154
401520383,2023,11,Illinois,Indiana,False,True,93.0,43.5,43.25,-4.5,228.2594547474812,7.317119934319983,170.33981409900994,4.774756009830559,240.44803553941816,7.49125751940785,119.97306246235179,3.450159877587345,66.88999000755683,66.85069368765703,66.87034184760694,759.020366848261,7.4571053085481624,6.577704624566896,4.393249786592083,3.393837928204672,7.828785421806556,6.745030654965653,3.898072628316404,4.1674182806717415,0.46650366341684935,0.47999085518146284,0.6428571428571429,0.6428571428571429
401525548,2023,11,Clemson,Georgia Tech,False,True,63.0,55.0,55.25,-15.5,282.02738988991536,8.058869097239707,203.54758254256814,5.6157124609508635,220.47174870734452,6.7838189072380235,163.91691660412812,4.23095101817748,74.02265716594641,68.46131294146929,71.24198505370785,869.9636377439562,7.466888709972362,5.890738093869178,4.771008972142784,3.0324835169516904,7.916232888481631,7.419052655520488,5.349846898871938,4.513323198987776,0.4912258069186596,0.4561867729701463,0.6666666666666666,0.6666666666666666
401520392,2023,11,Nebraska,Maryland,False,True,23.0,42.0,45.5,1.5,182.15417542967086,7.333683637009107,164.95162744835335,3.9822608826502326,266.0588077171928,7.526868573712645,98.93387205593022,3.200526711614914,64.19480382806985,68.32443975202595,66.2596217900479,712.0984826511473,7.200794607114128,6.280122528839831,4.658901651952383,2.8941892654522867,8.23872954092337,7.000930692621399,4.240297548660492,3.2775397694665007,0.3748590557857724,0.5334753475824991,0.6428571428571429,0.6666666666666666
401540506,2023,11,Monmouth,New Hampshire,False,False,55.0,70.5,,-3.5,276.15405983559293,9.148083014229607,236.02468806132086,6.362359925785555,309.01108442280497,8.069930759644917,131.32510993379387,4.5296288425567655,64.89908391864927,69.66917776125024,67.28413083994975,952.5149422535127,7.26776235907655,8.283223028060231,5.325886753964364,4.435382750936699,6.697064533936711,8.652535883333584,3.9159155676782706,4.580660569083596,0.44865105021022567,0.5691039539785567,0.6428571428571429,0.6428571428571429
401540025,2023,11,Long Island University,Wagner,True,False,63.0,,,,189.0165757855785,7.657200825669036,179.57790318719154,4.966352778103209,157.97921838035384,5.560581704792264,122.02022108247073,3.7622048673174797,59.015076429028525,62.672370977771536,60.84372370340003,648.5939184355946,6.0443249578837,7.946091634775457,4.046403723491663,4.598985036925317,4.810394428603605,8.708357766032497,3.136766920924426,4.706197613089704,0.4057084640735733,0.4669430855662261,0.6153846153846154,0.6428571428571429
401540108,2023,11,Illinois State,Murray State,False,False,51.0,54.5,,-16.5,232.9326042817363,6.803322427602908,199.03693072102757,6.418924530796951,211.7858291537111,7.24120008205991,131.76770127062431,3.6603603921959653,67.96151498577134,62.530280741086955,65.24589786342915,775.5230654270994,5.978088757134788,7.522639792516323,4.556867343856921,4.000228809137663,6.616896036668875,7.8229891065542265,3.50865622975837,5.401292402307622,0.5247543127325787,0.4482632525308081,0.6428571428571429,0.6428571428571429
401531344,2023,11,Tulane,Tulsa,False,True,46.0,52.75,53.5,-24.5,301.3593474850487,10.982798576310813,210.7495668280264,5.115377846842536,188.91686243699152,7.051272107725954,144.49843459020283,3.453055145298803,65.9901167000117,71.2867448458206,68.63843077291615,845.5242113402694,8.832693051452194,6.641379719720785,4.393333560968996,3.2653252719856054,7.298324902752057,8.54739768420953,4.05488806067199,4.4646286860267494,0.39976457081182043,0.39033357006000935,0.6666666666666666,0.6428571428571429
